Test Category,File Path,BLEU Score,ROUGE-L Score,Dev Changed,LLM Changed
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetAvailableAnimations,0.1318,0.1791,+9 ; -0,+8 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetMotorRegisterRange,0.0475,0.0769,+9 ; -0,+29 ; -6
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testPlayAnimation,0.0438,0.0849,+9 ; -0,+10 ; -4
NOD,aud_test_aud.py_test_config,0.1074,0.1444,+10 ; -10,+92 ; -71
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testResumeAnimation,0.0387,0.0625,+9 ; -0,+31 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testGetMotorRegister,0.1869,0.2857,+9 ; -0,+2 ; -0
NOD,aud_test_aud.py_test_name,0.1417,0.2089,+10 ; -10,+193 ; -44
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testPlayAnimation,0.1117,0.1774,+9 ; -0,+16 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetAvailableSounds,0.1115,0.1718,+9 ; -0,+23 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testMoveMotorInDirection,0.0,0.0351,+9 ; -0,+0 ; -0
NOD,aud_test_aud.py_test_afx_2,0.3449,0.3276,+10 ; -10,+1 ; -9
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testStopAnimation,0.0,0.0392,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testMoveMotorToPosition,0.1395,0.2187,+9 ; -0,+1 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testResumeAnimation,0.0321,0.067,+9 ; -0,+26 ; -6
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testStopAudio,0.0852,0.1509,+9 ; -0,+11 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testPlayAnimation,0.0,0.0,+9 ; -0,+0 ; -0
NOD,aud_test_aud.py_test_afx_3,0.1591,0.1877,+10 ; -10,+56 ; -46
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testStopAnimation,0.0384,0.0698,+9 ; -0,+37 ; -11
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetAvailableMotorRegisters,0.0544,0.0905,+9 ; -0,+39 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testMoveMotorInTime,0.0866,0.1702,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testPlayAudio,0.0558,0.1053,+9 ; -0,+14 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetAvailableAnimations,0.035,0.0635,+9 ; -0,+10 ; -4
NOD,aud_test_aud.py_test_export,0.2795,0.3343,+10 ; -10,+3 ; -4
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetAvailableSounds,0.0705,0.1778,+9 ; -0,+0 ; -0
NOD,tests_test_runium.py_TestTaskSkipping_test_processing,0.0018,0.2407,+172 ; -122,+10 ; -10
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testGetAvailableAnimations,0.1471,0.2286,+9 ; -0,+11 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testResumeAudio,0.0,0.0,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testPlayAudio,0.0,0.0,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testPauseAnimation,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testSetMotorRegister,0.0466,0.0957,+9 ; -0,+28 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetMotorRegister,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetAvailableHandlers,0.0808,0.1481,+9 ; -0,+20 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testStopAnimation,0.0334,0.0647,+9 ; -0,+16 ; -3
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testPauseAnimation,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testPauseAudio,0.0293,0.093,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testMoveMotorInTime,0.218,0.2973,+9 ; -0,+7 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testMoveMotorToPosition,0.0498,0.0667,+9 ; -0,+18 ; -1
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testResumeAudio,0.1914,0.2424,+9 ; -0,+10 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testSetMotorRegister,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetAvailableHandlers,0.0832,0.1354,+9 ; -0,+32 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testResumeAnimation,0.0346,0.0608,+9 ; -0,+50 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testGetMotorRegister,0.0297,0.0659,+9 ; -0,+24 ; -5
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testMoveMotorInDirection,0.0,0.0,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testGetAvailableMotorRegisters,0.1443,0.2338,+9 ; -0,+7 ; -0
NOD,tests_test_basic.py_test_read_config,0.0017,0.0772,+120 ; -0,+16 ; -0
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testStopAudio,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetMotorRegisterRange,0.0641,0.1702,+9 ; -0,+0 ; -0
NOD,tests_test_layout.py_test_rearrange,0.1835,0.3385,+1 ; -0,+1 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testPauseAudio,0.0652,0.1702,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testSetMotorRegister,0.0241,0.2051,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testGetAvailableSounds,0.0438,0.0828,+9 ; -0,+12 ; -2
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testResumeAudio,0.0234,0.0451,+9 ; -0,+31 ; -5
NOD,tests_test_runium.py_TestStartIn_test_processing,0.0014,0.2319,+172 ; -122,+8 ; -8
NOD,butter_mas_tests_clients_client_tcp_test.py_TestTcpClientApiMethods_testPauseAnimation,0.3321,0.4211,+9 ; -0,+5 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testMoveMotorInTime,0.0,0.0,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testPauseAudio,0.0,0.0,+9 ; -0,+0 ; -0
NOD,aud_test_aud.py_test_dir,0.1012,0.1345,+10 ; -10,+130 ; -86
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testStopAudio,0.0648,0.0808,+9 ; -0,+29 ; -4
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testMoveMotorToPosition,0.0992,0.1765,+9 ; -0,+16 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testGetAvailableMotorRegisters,0.0858,0.2791,+9 ; -0,+0 ; -0
NOD,butter_mas_tests_clients_client_udp_test.py_TestUdpClientApiMethods_testGetAvailableHandlers,0.0657,0.1182,+9 ; -0,+31 ; -0
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testMoveMotorInDirection,0.0444,0.0588,+9 ; -0,+14 ; -3
NOD,butter_mas_tests_clients_client_http_test.py_TestHttpClientApiMethods_testPlayAudio,0.0,0.0,+9 ; -0,+0 ; -0
OD,test_dictionary.py_test_dictionary_looping,0.0994,0.1503,+22 ; -15,+79 ; -66
OD,test_sized_buffer_backpressure_strategy.py_TestDropBackPressureStrategy_test_when_on_next_buffer_following_messages,0.1311,0.1844,+4 ; -0,+4 ; -0
UD,tests_test_transports.py_test_httptransport_timeout,0.0007,0.0727,+30 ; -0,+1 ; -0
NIO,tests_online_test.py_TestCell_test_wrap_strategy,0.0564,0.0619,+2 ; -0,+8 ; -11
NIO,pybrake_test_celery_integration.py_test_celery_integration,0.1128,0.1531,+2 ; -0,+28 ; -4
NIO,fs_tests_test_addpath.py_test_addpath,0.1198,0.2044,+3 ; -0,+46 ; -0
NIO,tests_test_daemon.py_TestDaemon_test_different_api_key,0.0467,0.1406,+1 ; -1,+9 ; -5
NIO,tests_online_test.py_TestCell_test_link,0.0175,0.038,+4 ; -0,+103 ; -30
NIO,fs_tests_test_mkdir.py_test_mkdir_recursive,0.0649,0.1199,+42 ; -0,+13 ; -0
NIO,fireworks_core_message_test.py_test_Message_set_get,0.0172,0.0421,+7 ; -0,+64 ; -32
NIO,test_geom.py_test_epsilon,0.0083,0.1007,+31 ; -0,+7 ; -0
NIO,tests_test_daemon.py_TestDaemon_test_short,0.0238,0.0855,+1 ; -1,+31 ; -8
NIO,cynergy_tests_test_life_cycle.py_test_multi,0.0849,0.1016,+46 ; -0,+14 ; -1
NIO,tests_test_pdl.py_pdl_test_helper,0.0771,0.1242,+3 ; -1,+17 ; -5
NIO,tests_test_layout.py_test_rearrange,0.0719,0.1311,+15 ; -1,+2 ; -3
NIO,tests_test_alphanum_code.py_test_init_code,0.0001,0.1143,+34 ; -0,+0 ; -0
NIO,test_test_aio.py_test_aio_future,0.0189,0.0458,+1 ; -2,+38 ; -7
NIO,fs_tests_test_mkdir.py_test_mkdir,0.0,0.0584,+42 ; -0,+0 ; -0
NIO,tests_unit_test_meta_for_old_files.py_test_fix_old_data_2,0.3594,0.4414,+6 ; -0,+2 ; -2
NIO,test_test_pickled_data.py_test_bot_ai,0.0241,0.0205,+2 ; -0,+11 ; -8
NIO,tests_test_view_boosters_test_todo_list_api_test_relationship_updates.py_test_list_relationship_new_item,0.3354,0.303,+10 ; -4,+27 ; -3
NIO,tests_test_redisqueue.py_test_mock_queue_connection,0.0014,0.161,+66 ; -28,+3 ; -3
NIO,tests_test_utils.py_UtilsTest_test_056_enhance_project_info,0.0418,0.0863,+2 ; -1,+13 ; -1
OD-Vic,tests_test___init__.py_tests_init,0.4278,0.4581,+7 ; -8,+9 ; -16
OD-Vic,tests_unit_test.py_test_set_okta_username,0.1836,0.1796,+88 ; -1,+36 ; -0
OD-Vic,tests_unit_test_producer_avro.py_test_avro_producer_produce,0.0383,0.1015,+1 ; -0,+6 ; -5
OD-Vic,HARK_ConsumptionSaving_tests_test_ConsAggShockModel.py_KrusellSmithAgentTestCase_test_agent,0.19,0.2661,+23 ; -6,+69 ; -75
OD-Vic,tests_test_api.py_TestFootprint_test_flight,0.0762,0.1026,+22 ; -0,+11 ; -0
OD-Vic,tests_test_l293d.py_L293DTestCase_test_motor_can_be_removed,0.1572,0.2404,+13 ; -0,+11 ; -10
